Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1F","CP_Radial_D8.0mm_P3.50mm",13.6258,81.7000,180.0000,top
"C2","1uF","C_0805_2012Metric",-4.1500,30.9000,0.0000,top
"C3","100nF","C_0805_2012Metric",-7.5500,30.9000,180.0000,top
"C4","1uF","C_0805_2012Metric",-0.1000,32.0000,-90.0000,top
"C5","10uF","C_0805_2012Metric",29.8733,94.6575,180.0000,top
"C6","1uF","C_0805_2012Metric",23.6000,87.6525,90.0000,top
"C7","1uF","C_0805_2012Metric",-9.5000,35.7475,-90.0000,top
"C8","1uF","C_0805_2012Metric",32.8000,90.0575,0.0000,top
"C9","100nF","C_0805_2012Metric",26.5258,91.7100,90.0000,top
"C10","47pF","C_0805_2012Metric",12.9424,104.9092,-90.0000,top
"C11","1uF","C_0805_2012Metric",7.3000,8.1000,180.0000,top
"C12","100nF","C_0805_2012Metric",7.3500,10.2000,180.0000,top
"C13","100nF","C_0805_2012Metric",35.1000,44.2500,90.0000,top
"C14","100nF","C_0805_2012Metric",2.0000,31.9500,-90.0000,top
"C15","100nF","C_0805_2012Metric",24.4000,44.1000,90.0000,top
"C16","100nF","C_0805_2012Metric",24.5000,27.8500,-90.0000,top
"C17","100nF","C_0805_2012Metric",13.5000,44.0500,90.0000,top
"C18","100nF","C_0805_2012Metric",34.8000,26.9500,-90.0000,top
"D1","M4","D_SMA",18.5258,82.0000,-90.0000,top
"D2","M4","D_SMA",26.4258,97.2575,-90.0000,top
"D3","RED","LED_1206_3216Metric",32.4000,79.0000,0.0000,top
"D4","SM712_SOT23","SOT-23",15.8500,22.9375,90.0000,top
"D5","SM712_SOT23","SOT-23",27.8500,22.8375,90.0000,top
"D6","GREEN","LED_1206_3216Metric",-18.1000,1.6000,0.0000,top
"D7","SM712_SOT23","SOT-23",19.7500,23.0375,90.0000,top
"D8","SMCJ33A","D_SMC",8.7000,23.1000,90.0000,top
"F1","1A","Fuse_0805_2012Metric",-25.0000,19.0375,-90.0000,top
"F2","1A","Fuse_0805_2012Metric",-25.0000,23.1000,90.0000,top
"G***","LOGO","UST",3.7084,70.7136,0.0000,top
"J1","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",23.8000,116.9000,-90.0000,top
"J2","Barrel_Jack_Switch","BarrelJack_Horizontal",-28.1575,13.8000,90.0000,bottom
"J3","HEADER_2x05_PARALLEL","Straight_2x05",-10.9442,95.0800,0.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",-3.8442,92.5000,0.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",-3.8442,90.0000,0.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",-3.8442,100.2000,0.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",-3.8442,97.6000,0.0000,top
"J8","u.fl","U.FL_Molex_MCRF_73412-0110_Vertical",7.9258,111.4000,0.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",18.1000,46.0700,90.0000,top
"J10","Raspberry_Pi_4","PinHeader_2x20_P2.54mm_Vertical",-33.5750,113.4600,0.0000,top
"J11","RJ45_LED_Shielded","RJ45_Amphenol_RJHSE538X",22.7500,8.1000,180.0000,top
"JP1","SolderJumper_3_Bridged12","SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm",31.4258,87.8000,0.0000,top
"JP2","SolderJumper_2_Open","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",-20.7500,100.2000,180.0000,top
"JP3","Jumper_3_Open","PinHeader_1x03_P2.54mm_Vertical",21.4000,44.8000,180.0000,top
"L1","NL322522T-101K","L_1210_3225Metric",29.8258,98.0000,-90.0000,top
"L2","27nH","L_0402_1005Metric",8.4258,105.9000,180.0000,top
"M1","HOLE","MountingHole_3mm",-40.9250,12.8000,0.0000,top
"M2","HOLE","MountingHole_3mm",41.5250,18.0500,0.0000,top
"M3","HOLE","MountingHole_3mm",41.5250,88.1500,0.0000,top
"M4","HOLE","MountingHole_3mm",-18.1000,114.5000,0.0000,bottom
"NT1","NetTie_2","NetTie-2_SMD_Pad0.5mm",-28.7000,27.4000,90.0000,top
"PS1","THN-30-2415WIR","Converter_DCDC_TRACO_THN30-xxxx_THT",-18.2175,13.6000,90.0000,top
"Q1","BC817-25","SOT-23",-18.2500,33.1625,-90.0000,top
"Q2","BC817-25","SOT-23",-15.8375,82.7125,0.0000,top
"R1","22R","R_0805_2012Metric",21.4258,80.9525,-90.0000,top
"R2","1k","R_0805_2012Metric",-18.2125,39.2000,0.0000,top
"R3","10k","R_0805_2012Metric",-18.2000,41.3000,0.0000,top
"R4","10k","R_0805_2012Metric",-18.1875,37.0000,180.0000,top
"R5","10k","R_0805_2012Metric",-15.2742,93.0475,-90.0000,top
"R6","10k","R_0805_2012Metric",-15.2742,96.5125,90.0000,top
"R7","TRIM","R_0805_2012Metric",7.4000,12.5000,180.0000,top
"R8","TRIM","R_0805_2012Metric",6.6000,15.2125,90.0000,top
"R9","33R","R_0805_2012Metric",18.3258,104.8000,45.0000,top
"R10","33R","R_0805_2012Metric",16.7523,106.2265,45.0000,top
"R11","33R","R_0805_2012Metric",1.5697,92.1417,180.0000,top
"R12","33R","R_0805_2012Metric",1.5733,90.2000,180.0000,top
"R13","33R","R_0805_2012Metric",1.5733,94.1000,180.0000,top
"R14","33R","R_0805_2012Metric",1.5770,96.0543,180.0000,top
"R15","10R","R_0805_2012Metric",10.9258,104.9000,90.0000,top
"R16","33R","R_0805_2012Metric",7.2000,44.8525,90.0000,top
"R17","33R","R_0805_2012Metric",32.8000,44.3525,90.0000,top
"R18","620R","R_0805_2012Metric",28.1000,79.0000,180.0000,top
"R19","220R","R_0805_2012Metric",-17.1000,86.3875,-90.0000,top
"R20","220R","R_0805_2012Metric",14.3000,26.6000,45.0000,top
"R21","220R","R_0805_2012Metric",29.3000,27.5000,-45.0000,top
"R22","220R","R_0805_2012Metric",-16.1000,79.4125,180.0000,top
"R23","220R","R_0805_2012Metric",20.0000,28.3000,0.0000,top
"R24","220R","R_0805_2012Metric",31.3000,16.1000,-90.0000,top
"R25","220R","R_0805_2012Metric",33.8000,16.2125,-90.0000,top
"TP1","GND_DIG","Pin_D1.4mm_L8.5mm_W2.8mm_FlatFork",-28.7000,23.9000,90.0000,top
"TP2","24V","Pin_D1.4mm_L8.5mm_W2.8mm_FlatFork",-28.7000,20.0000,90.0000,top
"TP3","TestPoint","TestPoint_Pad_D1.5mm",-8.2000,39.3000,0.0000,top
"TP4","TestPoint","TestPoint_Pad_D1.5mm",33.8000,22.5000,0.0000,top
"U1","TPSM33606S5QRDNRQ1","RDN0011A_TEX",-5.0500,35.2000,90.0000,top
"U2","USBLC6-2SC6","SOT-23-6",20.1500,110.5375,90.0000,top
"U3","MIC5504-3.3YM5","SOT-23-5",29.3208,91.2575,-90.0000,top
"U4","NEO-M9N","ublox_NEO",13.8258,95.0000,-90.0000,top
"U5","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",9.0000,35.8500,-90.0000,top
"U6","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",30.9550,35.8500,-90.0000,top
"U7","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",20.0000,35.8000,-90.0000,top
