Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1F","CP_Radial_D8.0mm_P3.50mm",95.7000,-59.4050,180.0000,top
"C2","10uF","SMD-0805",111.9475,-46.4475,180.0000,top
"C3","1uF","SMD-0805",114.6475,-51.0475,0.0000,top
"C4","100nF","SMD-0805",108.6000,-49.3950,90.0000,top
"C5","1uF","SMD-0805",105.2000,-53.4525,90.0000,top
"C7","47pF","SMD-0805",94.9000,-36.1575,-90.0000,top
"C10","1uF","SMD-0805",76.6002,-92.2525,-90.0000,top
"D1","M4","D_SMA",100.6000,-59.1050,-90.0000,top
"D2","M4","D_SMA",108.5000,-43.8475,-90.0000,top
"D3","RED","LED_1206",133.9950,-56.4050,180.0000,top
"D4","SM712_SOT23","SOT-23",101.5500,-105.0625,90.0000,top
"D5","SM712_SOT23","SOT-23",105.4500,-104.9625,90.0000,top
"D6","GREEN","LED_1206",114.2950,-76.5050,0.0000,top
"D7","SM712_SOT23","SOT-23",113.5500,-105.1625,90.0000,top
"J1","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",111.8000,-37.4475,180.0000,top
"J3","MCX","U.FL_Molex_MCRF_73412-0110_Vertical",90.0000,-29.7050,0.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",78.2300,-48.6050,0.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",78.2300,-51.1050,0.0000,top
"J6","HEADER_2x05_PARALLEL","Straight_2x05",71.1300,-46.0250,0.0000,top
"J7","Raspberry_Pi_4","PinHeader_2x20_P2.54mm_Vertical",53.1600,-25.8050,0.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",103.8000,-81.9300,90.0000,top
"J10","RJ45_LED_Shielded","RJ45_Amphenol_RJHSE538X",109.2100,-118.4600,180.0000,top
"J11","HEADER_2x01_PARALLEL","Straight_2x01",78.2300,-40.9050,0.0000,top
"J16","HEADER_2x01_PARALLEL","Straight_2x01",78.2300,-43.5050,0.0000,top
"JP2","Jumper_3_Open","PinHeader_1x03_P2.54mm_Vertical",107.1000,-83.2000,180.0000,top
"L1","NL322522T-101K","L_1210_3225Metric",111.9000,-43.2475,-90.0000,top
"L2","27nH","L_0402_1005Metric",90.5000,-35.2050,180.0000,top
"M1","HOLE","MountingHole_3mm",27.7000,-149.2016,0.0000,top
"M2","HOLE","MountingHole_3mm",27.7000,-156.3010,0.0000,top
"M3","HOLE","MountingHole_3mm",27.7000,-163.4005,0.0000,top
"M4","HOLE","MountingHole_3mm",27.7000,-170.5000,0.0000,top
"PS1","THN_30-2423WI","Converter_DCDC_TRACO_THN30-xxxx_THT",69.8800,-114.8000,90.0000,top
"Q1","BC817-25","SOT-23",114.4625,-63.2050,0.0000,top
"Q2","BC817-25","SOT-23",75.4253,-126.9800,0.0000,top
"R1","22R","SMD-0805",103.5000,-60.1525,-90.0000,top
"R2","10k","SMD-0805",66.8000,-48.0575,-90.0000,top
"R3","10k","SMD-0805",66.8000,-44.8050,90.0000,top
"R4","33R","SMD-0805",100.4000,-36.3050,45.0000,top
"R5","33R","SMD-0805",98.8265,-34.8785,45.0000,top
"R6","33R","SMD-0805",83.6475,-48.9050,180.0000,top
"R7","33R","SMD-0805",83.6475,-50.7050,180.0000,top
"R8","33R","SMD-0805",83.6475,-47.1050,180.0000,top
"R9","33R","SMD-0805",83.6475,-45.2050,180.0000,top
"R10","620R","SMD-0805",129.5425,-56.6050,180.0000,top
"R11","10R","SMD-0805",93.0000,-36.2050,90.0000,top
"R12","TRIM","SMD-0805",95.2000,-113.8000,90.0000,top
"R13","TRIM","SMD-0805",95.2000,-110.4475,90.0000,top
"R14","220R","SMD-0805",110.0725,-61.3550,0.0000,top
"R15","33R","SMD-0805",118.5000,-83.6475,90.0000,top
"R16","220R","SMD-0805",114.3154,-73.0662,0.0000,top
"R17","10k","SMD-0805",61.6953,-100.2720,0.0000,top
"R18","100k","SMD-0805",61.6953,-102.9460,0.0000,top
"R21","33R","SMD-0805",92.9000,-83.1475,90.0000,top
"U1","USBLC6-2SC6","SOT-23-6",104.8000,-33.3550,0.0000,top
"U2","MIC5504-3.3YM5","SOT-23-5",111.3950,-49.8475,-90.0000,top
"U3","NEO-M9N","ublox_NEO",95.9000,-46.1050,-90.0000,top
"U4","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",94.7000,-92.1500,-90.0000,top
"U5","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",116.6550,-92.1500,-90.0000,top
"U6","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",105.7000,-92.2000,-90.0000,top
"U7","TPSM33606S5QRDNRQ1","RDN0011A_TEX",80.6500,-92.8000,90.0000,top
